"video","query_id","concept1","concept2","query_zh"
"P01","Sky_Street","Sky","Street","视频中同时出现天空和街道的相关画面"
"P01","Sky_Student","Sky","Student","视频中同时出现天空和学生的相关画面"
"P01","Sky_Tree","Sky","Tree","视频中同时出现天空和树的相关画面"
"P01","Street_Student","Street","Student","视频中同时出现街道和学生的相关画面"
"P01","Sun_Lake","Sun","Lake","视频中同时出现太阳和湖的相关画面"
"P01","Window_Petsanimal","Window","Petsanimal","视频中同时出现窗户和宠物或动物的相关画面"
"P02","Blonde_Book","Blonde","Book","视频中同时出现金发人物和书的相关画面"
"P02","Book_Garden","Book","Garden","视频中同时出现书和花园的相关画面"
"P02","Book_Park","Book","Park","视频中同时出现书和公园的相关画面"
"P02","Building_Boat","Building","Boat","视频中同时出现建筑和船的相关画面"
"P02","Building_Food","Building","Food","视频中同时出现建筑和食物的相关画面"
"P02","Car_School","Car","School","视频中同时出现汽车和学校的相关画面"
"P02","Chair_Hall","Chair","Hall","视频中同时出现椅子和大厅的相关画面"
"P02","Chair_Men","Chair","Men","视频中同时出现椅子和男性的相关画面"
"P02","Computer_Kids","Computer","Kids","视频中同时出现电脑和儿童的相关画面"
"P02","Computer_Park","Computer","Park","视频中同时出现电脑和公园的相关画面"
"P02","Computer_Shoes","Computer","Shoes","视频中同时出现电脑和鞋的相关画面"
"P02","Cupglass_Room","Cupglass","Room","视频中同时出现杯子或玻璃杯和房间的相关画面"
"P02","Desk_Hands","Desk","Hands","视频中同时出现桌子和手的相关画面"
"P02","Drink_Hands","Drink","Hands","视频中同时出现饮料或喝东西和手的相关画面"
"P02","Drink_Park","Drink","Park","视频中同时出现饮料或喝东西和公园的相关画面"
"P02","Drink_Room","Drink","Room","视频中同时出现饮料或喝东西和房间的相关画面"
"P02","Face_Baby","Face","Baby","视频中同时出现人脸和婴儿的相关画面"
"P02","Face_Food","Face","Food","视频中同时出现人脸和食物的相关画面"
"P02","Face_Lady","Face","Lady","视频中同时出现人脸和女性的相关画面"
"P02","Flower_Student","Flower","Student","视频中同时出现花和学生的相关画面"
"P02","Food_Men","Food","Men","视频中同时出现食物和男性的相关画面"
"P02","Garden_Party","Garden","Party","视频中同时出现花园和聚会的相关画面"
"P02","Garden_Phone","Garden","Phone","视频中同时出现花园和手机的相关画面"
"P02","Grass_Bed","Grass","Bed","视频中同时出现草地和床的相关画面"
"P02","Hall_Park","Hall","Park","视频中同时出现大厅和公园的相关画面"
"P02","Hands_Lady","Hands","Lady","视频中同时出现手和女性的相关画面"
"P02","Hands_Men","Hands","Men","视频中同时出现手和男性的相关画面"
"P02","Hands_Tree","Hands","Tree","视频中同时出现手和树的相关画面"
"P02","Kids_Ocean","Kids","Ocean","视频中同时出现儿童和海洋的相关画面"
"P02","Kids_Office","Kids","Office","视频中同时出现儿童和办公室的相关画面"
"P02","Lady_Street","Lady","Street","视频中同时出现女性和街道的相关画面"
"P02","Market_Ocean","Market","Ocean","视频中同时出现市场和海洋的相关画面"
"P02","Men_Bed","Men","Bed","视频中同时出现男性和床的相关画面"
"P02","Office_Shoes","Office","Shoes","视频中同时出现办公室和鞋的相关画面"
"P02","Park_Bed","Park","Bed","视频中同时出现公园和床的相关画面"
"P02","Park_Room","Park","Room","视频中同时出现公园和房间的相关画面"
"P02","Party_Phone","Party","Phone","视频中同时出现聚会和手机的相关画面"
"P02","Phone_Lake","Phone","Lake","视频中同时出现手机和湖的相关画面"
"P02","Room_Boat","Room","Boat","视频中同时出现房间和船的相关画面"
"P02","Sign_Petsanimal","Sign","Petsanimal","视频中同时出现标志牌和宠物或动物的相关画面"
"P02","Sky_Dance","Sky","Dance","视频中同时出现天空和舞蹈的相关画面"
"P02","Street_School","Street","School","视频中同时出现街道和学校的相关画面"
"P02","Street_Window","Street","Window","视频中同时出现街道和窗户的相关画面"
"P02","Sun_Ocean","Sun","Ocean","视频中同时出现太阳和海洋的相关画面"
"P02","Toy_Lake","Toy","Lake","视频中同时出现玩具和湖的相关画面"
"P03","Book_Lady","Book","Lady","视频中同时出现书和女性的相关画面"
"P03","Book_Street","Book","Street","视频中同时出现书和街道的相关画面"
"P03","Book_Tree","Book","Tree","视频中同时出现书和树的相关画面"
"P03","Building_Garden","Building","Garden","视频中同时出现建筑和花园的相关画面"
"P03","Car_Chocolate","Car","Chocolate","视频中同时出现汽车和巧克力的相关画面"
"P03","Car_Tree","Car","Tree","视频中同时出现汽车和树的相关画面"
"P03","Chair_Dance","Chair","Dance","视频中同时出现椅子和舞蹈的相关画面"
"P03","Chair_Tree","Chair","Tree","视频中同时出现椅子和树的相关画面"
"P03","Chocolate_Food","Chocolate","Food","视频中同时出现巧克力和食物的相关画面"
"P03","Chocolate_Phone","Chocolate","Phone","视频中同时出现巧克力和手机的相关画面"
"P03","Chocolate_Street","Chocolate","Street","视频中同时出现巧克力和街道的相关画面"
"P03","Chocolate_Tree","Chocolate","Tree","视频中同时出现巧克力和树的相关画面"
"P03","Computer_Cupglass","Computer","Cupglass","视频中同时出现电脑和杯子或玻璃杯的相关画面"
"P03","Computer_Dance","Computer","Dance","视频中同时出现电脑和舞蹈的相关画面"
"P03","Computer_Grass","Computer","Grass","视频中同时出现电脑和草地的相关画面"
"P03","Cupglass_Desk","Cupglass","Desk","视频中同时出现杯子或玻璃杯和桌子的相关画面"
"P03","Cupglass_Grass","Cupglass","Grass","视频中同时出现杯子或玻璃杯和草地的相关画面"
"P03","Cupglass_Lake","Cupglass","Lake","视频中同时出现杯子或玻璃杯和湖的相关画面"
"P03","Cupglass_Room","Cupglass","Room","视频中同时出现杯子或玻璃杯和房间的相关画面"
"P03","Cupglass_Window","Cupglass","Window","视频中同时出现杯子或玻璃杯和窗户的相关画面"
"P03","Desk_Food","Desk","Food","视频中同时出现桌子和食物的相关画面"
"P03","Desk_Hands","Desk","Hands","视频中同时出现桌子和手的相关画面"
"P03","Desk_Tree","Desk","Tree","视频中同时出现桌子和树的相关画面"
"P03","Drink_Food","Drink","Food","视频中同时出现饮料或喝东西和食物的相关画面"
"P03","Drink_Tree","Drink","Tree","视频中同时出现饮料或喝东西和树的相关画面"
"P03","Face_Boat","Face","Boat","视频中同时出现人脸和船的相关画面"
"P03","Food_Hands","Food","Hands","视频中同时出现食物和手的相关画面"
"P03","Food_Lady","Food","Lady","视频中同时出现食物和女性的相关画面"
"P03","Food_Room","Food","Room","视频中同时出现食物和房间的相关画面"
"P03","Grass_Beach","Grass","Beach","视频中同时出现草地和海滩的相关画面"
"P03","Grass_Men","Grass","Men","视频中同时出现草地和男性的相关画面"
"P03","Hall_Ocean","Hall","Ocean","视频中同时出现大厅和海洋的相关画面"
"P03","Hands_Boat","Hands","Boat","视频中同时出现手和船的相关画面"
"P03","Hands_Room","Hands","Room","视频中同时出现手和房间的相关画面"
"P03","Lady_Sports","Lady","Sports","视频中同时出现女性和运动的相关画面"
"P03","Market_Beach","Market","Beach","视频中同时出现市场和海滩的相关画面"
"P03","Market_Sun","Market","Sun","视频中同时出现市场和太阳的相关画面"
"P03","Men_Sun","Men","Sun","视频中同时出现男性和太阳的相关画面"
"P03","Office_Tree","Office","Tree","视频中同时出现办公室和树的相关画面"
"P03","Phone_Ocean","Phone","Ocean","视频中同时出现手机和海洋的相关画面"
"P03","Room_Baby","Room","Baby","视频中同时出现房间和婴儿的相关画面"
"P03","Room_Sky","Room","Sky","视频中同时出现房间和天空的相关画面"
"P03","Sign_Student","Sign","Student","视频中同时出现标志牌和学生的相关画面"
"P03","Street_Kids","Street","Kids","视频中同时出现街道和儿童的相关画面"
"P03","Sun_Student","Sun","Student","视频中同时出现太阳和学生的相关画面"
"P04","Blonde_Beach","Blonde","Beach","视频中同时出现金发人物和海滩的相关画面"
"P04","Blonde_Food","Blonde","Food","视频中同时出现金发人物和食物的相关画面"
"P04","Blonde_Garden","Blonde","Garden","视频中同时出现金发人物和花园的相关画面"
"P04","Book_Chair","Book","Chair","视频中同时出现书和椅子的相关画面"
"P04","Book_Sports","Book","Sports","视频中同时出现书和运动的相关画面"
"P04","Building_School","Building","School","视频中同时出现建筑和学校的相关画面"
"P04","Building_Window","Building","Window","视频中同时出现建筑和窗户的相关画面"
"P04","Car_Chocolate","Car","Chocolate","视频中同时出现汽车和巧克力的相关画面"
"P04","Car_Food","Car","Food","视频中同时出现汽车和食物的相关画面"
"P04","Car_Market","Car","Market","视频中同时出现汽车和市场的相关画面"
"P04","Car_Ocean","Car","Ocean","视频中同时出现汽车和海洋的相关画面"
"P04","Car_Office","Car","Office","视频中同时出现汽车和办公室的相关画面"
"P04","Car_Sign","Car","Sign","视频中同时出现汽车和标志牌的相关画面"
"P04","Chair_Men","Chair","Men","视频中同时出现椅子和男性的相关画面"
"P04","Computer_Beach","Computer","Beach","视频中同时出现电脑和海滩的相关画面"
"P04","Computer_Room","Computer","Room","视频中同时出现电脑和房间的相关画面"
"P04","Cupglass_Boat","Cupglass","Boat","视频中同时出现杯子或玻璃杯和船的相关画面"
"P04","Desk_Men","Desk","Men","视频中同时出现桌子和男性的相关画面"
"P04","Desk_Ocean","Desk","Ocean","视频中同时出现桌子和海洋的相关画面"
"P04","Desk_Room","Desk","Room","视频中同时出现桌子和房间的相关画面"
"P04","Drink_Tree","Drink","Tree","视频中同时出现饮料或喝东西和树的相关画面"
"P04","Face_Party","Face","Party","视频中同时出现人脸和聚会的相关画面"
"P04","Food_Garden","Food","Garden","视频中同时出现食物和花园的相关画面"
"P04","Food_Sky","Food","Sky","视频中同时出现食物和天空的相关画面"
"P04","Food_Street","Food","Street","视频中同时出现食物和街道的相关画面"
"P04","Garden_Hall","Garden","Hall","视频中同时出现花园和大厅的相关画面"
"P04","Garden_Office","Garden","Office","视频中同时出现花园和办公室的相关画面"
"P04","Garden_Sign","Garden","Sign","视频中同时出现花园和标志牌的相关画面"
"P04","Hall_Lady","Hall","Lady","视频中同时出现大厅和女性的相关画面"
"P04","Hall_Park","Hall","Park","视频中同时出现大厅和公园的相关画面"
"P04","Hall_Student","Hall","Student","视频中同时出现大厅和学生的相关画面"
"P04","Hands_Lady","Hands","Lady","视频中同时出现手和女性的相关画面"
"P04","Lady_Boat","Lady","Boat","视频中同时出现女性和船的相关画面"
"P04","Men_Sun","Men","Sun","视频中同时出现男性和太阳的相关画面"
"P04","Office_Boat","Office","Boat","视频中同时出现办公室和船的相关画面"
"P04","Office_Park","Office","Park","视频中同时出现办公室和公园的相关画面"
"P04","Park_Sun","Park","Sun","视频中同时出现公园和太阳的相关画面"
"P04","Phone_Baby","Phone","Baby","视频中同时出现手机和婴儿的相关画面"
"P04","Room_Boat","Room","Boat","视频中同时出现房间和船的相关画面"
"P04","Room_Window","Room","Window","视频中同时出现房间和窗户的相关画面"
"P04","School_Toy","School","Toy","视频中同时出现学校和玩具的相关画面"
"P04","Shoes_Baby","Shoes","Baby","视频中同时出现鞋和婴儿的相关画面"
"P04","Student_Flower","Student","Flower","视频中同时出现学生和花的相关画面"
"P04","Sun_Bed","Sun","Bed","视频中同时出现太阳和床的相关画面"
"P04","Sun_Tree","Sun","Tree","视频中同时出现太阳和树的相关画面"
